Date,Start Time,End Time,Duration,Duration (H:MM:SS),Starting Location,Destination,Distance (mi),Average Speed (mph),Intersections,Energy Level (L/M/H),Transition Period (Y/N),In a rush? (Y/N),heavy bag? (Y/N),Notes
2024-04-23,11:02:00 AM,11:09:00 AM,0:07,0:07:14,UCen,Home,0.94,7.797235023,0,L,N,N,N,
2024-04-23,6:16:00 PM,6:20:00 PM,0:04,0:03:43,Home,Thunderdome,0.64,10.33183857,3,H,N,N,N,
2024-04-23,9:38:00 PM,9:42:00 PM,0:04,0:04:12,Thunderdome,Home,0.64,9.142857143,0,L,N,N,N,slowed down for cars 2x
2024-04-24,10:50:00 AM,10:56:00 AM,0:06,0:05:55,Home,UCen,0.94,9.532394366,1,M,Y,N,N,
2024-04-24,4:54:00 PM,5:00:00 PM,0:06,0:06:10,UCen,Home,0.94,9.145945946,0,M,Y,N,Y,going against heavy wind
2024-04-25,3:47:00 PM,3:51:00 PM,0:04,0:04:06,Home,HSSB,0.71,10.3902439,1,M,Y,N,N,not busy
2024-04-25,4:52:00 PM,4:57:00 PM,0:05,0:04:35,HSSB,Home,0.71,9.294545455,0,M,N,Y,N,not busy
2024-04-25,5:52:00 PM,5:56:00 PM,0:04,0:04:35,Home,Rec Cen,0.86,11.25818182,1,H,N,Y,N,busy
2024-04-25,7:02:00 PM,7:08:00 PM,0:06,0:05:47,Rec Cen,Home,0.84,8.714697406,2,M,N,Y,N,stopped at big inter (2 stoplights)
2024-04-29,10:51:00 AM,10:56:00 AM,0:05,0:05:24,Home,UCen,0.94,10.44444444,0,M,Y,Y,N,
2024-04-29,4:53:00 PM,4:58:00 PM,0:05,0:05:27,UCen,Home,0.94,10.34862385,2,M,Y,N,Y,
2024-04-30,6:22:00 PM,6:26:00 PM,0:04,0:04:25,Home,Thunderdome,0.64,8.694339623,0,M,N,N,N,
2024-04-30,9:46:00 PM,9:50:00 PM,0:04,0:04:46,Thunderdome,Home,0.64,8.055944056,0,L,N,N,Y,
2024-05-01,10:49:00 AM,10:55:00 AM,0:06,0:05:53,Home,UCen,0.94,9.586402266,0,L,Y,N,N,
2024-05-01,4:53:00 PM,4:59:00 PM,0:06,0:05:46,UCen,Home,0.94,9.780346821,0,M,Y,N,Y,
2024-05-02,3:47:00 PM,3:51:00 PM,0:04,0:04:01,Home,HSSB,0.71,10.60580913,2,M,Y,Y,N,
2024-05-02,7:05:00 PM,7:11:00 PM,0:06,0:06:13,Rec Cen,Home,0.84,8.107238606,2,M,N,N,N,2 stop lights
